Station Name,Line,Station Number,Lattitude,Longitude,ID
Van Cordlandt Park - 242 Street,1,1,40.889222,-73.898583,101
238 Street,1,2,40.885097,-73.900608,102
231 Street,1,3,40.879,-73.905,103
Marble Hill - 225 Street,1,4,40.874,-73.91,104
215 Street,1,5,40.869473,-73.915074,105
207 Street,1,6,40.8644,-73.9189,106
Dyckman Street,1,7,40.861,-73.925,107
191 Street,1,8,40.855,-73.929,108
181 Street,1,9,40.849,-73.934,109
168 Street - Washington Heights,1,10,40.841022,-73.939791,110
157 Street,1,11,40.834,-73.944,111
145 Street,1,12,40.826,-73.95,112
137 Street - City College,1,13,40.821,-73.954,113
125 Street,1,14,40.815,-73.958,114
116 Street - Columbia University,1,15,40.808,-73.964,115
Cathedral Pkwy (110 Street),1,16,40.804,-73.967,116
103 Street,1,17,40.799419,-73.968158,117
96 Street,1,18,40.7941,-73.972,118
86 Street,1,19,40.7883,-73.9764,119
79 Street,1,20,40.784,-73.98,120
72 Street,1,21,40.779,-73.982,121
66 Street - Lincoln Center,1,22,40.774,-73.982,122
59 Street - Columbus Circle,1,23,40.767997,-73.981934,123
50 Street,1,24,40.761,-73.984,124
Times Square - 42 Street,1,25,40.756,-73.987,125
34 Street - Penn Station,1,26,40.751,-73.991,126
28 Street,1,27,40.747,-73.993,127
23 Street,1,28,40.744,-73.996,128
18 Street,1,29,40.741,-73.998,129
14 Street,1,30,40.737328,-73.996796,130
Christopher Street - Sheridan Square,1,31,40.733,-74.003,131
Houston Street,1,32,40.728592,-74.005322,132
Canal Street,1,33,40.722,-74.006,133
Franklin Street,1,34,40.719,-74.007,134
Chambers Street,1,35,40.715517,-74.009233,135
Cortlandt Street,1,36,40.71,-74.012,136
Rector Street,1,37,40.708,-74.013,137
South Ferry,1,38,40.702472,-74.012833,138
Wakefield - 241 Street,2,1,40.903,-73.85,201
Nereid Avenue,2,2,40.898,-73.854,202
223 Street,2,3,40.893,-73.857,203
225 Street,2,4,40.888,-73.86,204
219 Street,2,5,40.883,-73.863,205
Gun Hill Road,2,6,40.877,-73.867,206
Burke Avenue,2,7,40.871,-73.867,207
Allerton Avenue,2,8,40.865,-73.867,208
Pelham Parkway,2,9,40.857,-73.868,209
Bronx Park East,2,10,40.849,-73.868,210
East 180 Street,2,11,40.841,-73.874,211
West Farms Square - East Tremont Avenue,2,12,40.84,-73.88,212
174 Street,2,13,40.837,-73.888,213
Freeman Street,2,14,40.83,-73.892,214
Simpson Street,2,15,40.824,-73.893,215
Intervale Avenue,2,16,40.822,-73.897,216
Prospect Avenue,2,17,40.819,-73.901,217
Jackson Avenue,2,18,40.8163,-73.908,218
3 Avenue - 149 Street,2,19,40.816099,-73.917676,219
149 Street - Grand Concourse,2,20,40.8181,-73.9275,220
135 Street,2,21,40.814,-73.941,221
125 Street,2,22,40.807,-73.945,222
116 Street,2,23,40.802,-73.95,223
Central Park North (110 Street),2,24,40.798,-73.953,224
96 Street,2,25,40.7941,-73.972,225
86 Street,2,26,40.7883,-73.9764,226
79 Street,2,27,40.784,-73.98,227
72 Street,2,28,40.779,-73.982,228
66 Street - Lincoln Center,2,29,40.774,-73.982,229
59 Street - Columbus Circle,2,30,40.767997,-73.981934,230
50 Street,2,31,40.761,-73.984,231
Times Square - 42 Street,2,32,40.756,-73.987,232
34 Street - Penn Station,2,33,40.751,-73.991,233
28 Street,2,34,40.747,-73.993,234
23 Street,2,35,40.744,-73.996,235
18 Street,2,36,40.741,-73.998,236
14 Street,2,37,40.737328,-73.996796,237
Christopher Street - Sheridan Square,2,38,40.733,-74.003,238
Houston Street,2,39,40.728592,-74.005322,239
Canal Street,2,40,40.722,-74.006,240
Franklin Street,2,41,40.719,-74.007,241
Chambers Street,2,42,40.715517,-74.009233,242
Park Place,2,43,40.712655,-74.009657,243
Fulton Street,2,44,40.710206,-74.007744,244
Wall Street,2,45,40.706311,-74.009528,245
Clark Street,2,46,40.6974,-73.9931,246
Borough Hall,2,47,40.693655,-73.990216,247
Hoyt Street,2,48,40.690531,-73.985109,248
Nevins Street,2,49,40.688709,-73.980904,249
Atlantic Avenue,2,50,40.684462,-73.978758,250
Bergen Street,2,51,40.680833,-73.97511,251
Grand Army Plaza,2,52,40.674584,-73.970518,252
East Parkway - Brooklyn Museum,2,53,40.671622,-73.96275,253
Franklin Avenue,2,54,40.670711,-73.958545,254
President Street,2,55,40.668009,-73.950691,255
Sterling Street,2,56,40.663061,-73.950863,256
Winthrop Street,2,57,40.657039,-73.950262,257
Church Avenue,2,58,40.650755,-73.950005,258
Beverly Road,2,59,40.645122,-73.94906,259
Newkirk Avenue,2,60,40.639912,-73.94846,260
Flatbush Avenue - Brooklyn College,2,61,40.632361,-73.947486,261
Harlem - 148 Street,3,1,40.824,-73.937,301
145 Street,3,2,40.82,-73.936,302
135 Street,3,3,40.814,-73.941,303
125 Street,3,4,40.807,-73.945,304
116 Street,3,5,40.802,-73.95,305
Central Park North (110 Street),3,6,40.798,-73.953,306
96 Street,3,7,40.7941,-73.972,307
72 Street,3,8,40.779,-73.982,308
Times Square - 42 Street,3,9,40.756,-73.987,309
34 Street - Penn Station,3,10,40.751,-73.991,310
14 Street,3,11,40.737328,-73.996796,311
Chambers Street,3,12,40.715517,-74.009233,312
Park Place,3,13,40.712655,-74.009657,313
Fulton Street,3,14,40.710206,-74.007744,314
Wall Street,3,15,40.706311,-74.009528,315
Clark Street,3,16,40.6974,-73.9931,316
Borough Hall,3,17,40.693655,-73.990216,317
Hoyt Street - Fulton Mall,3,18,40.690531,-73.985109,318
Nevins Street,3,19,40.688709,-73.980904,319
Atlantic Avenue,3,20,40.684462,-73.978758,320
Bergen Street,3,21,40.680833,-73.97511,321
Grand Army Plaza,3,22,40.674584,-73.970518,322
Eastern Parkway - Brooklyn Museum,3,23,40.671622,-73.96275,323
Franklin Avenue,3,24,40.670711,-73.958545,324
Nostrand Avenue,3,25,40.6698,-73.95052,325
Kingston Avenue,3,26,40.669376,-73.942151,326
Crown Heights - Utica Avenue,3,27,40.668758,-73.931208,327
Sutter Avenue - Rutland Road,3,28,40.664884,-73.922882,328
Saratoga Avenue,3,29,40.661531,-73.915586,329
Rockaway Avenue,3,30,40.662541,-73.908892,330
Junius Street,3,31,40.663615,-73.90151,331
Pennsylvania Avenue,3,32,40.664722,-73.894129,332
Van Siclen Avenue,3,33,40.665535,-73.888593,333
New Lots Avenue,3,34,40.666382,-73.882585,334
Woodlawn,4,1,40.886005,-73.878808,401
Mosholu Parkway,4,2,40.879711,-73.884687,402
Bedford Park Boulevard - Lehman College,4,3,40.873545,-73.889837,403
Kingsbridge Road,4,4,40.867444,-73.897433,404
Fordham Road,4,5,40.862706,-73.901124,405
183 Street,4,6,40.858324,-73.903999,406
Burnside Avenue,4,7,40.853748,-73.90739,407
176 Street,4,8,40.848619,-73.911767,408
Mt Eden Avenue,4,9,40.844268,-73.914814,409
170 Street,4,10,40.840178,-73.917732,410
167 Street,4,11,40.835665,-73.921337,411
161 Street - Yankee Stadium,4,12,40.827937,-73.925886,412
149 Street - Grand Concourse,4,13,40.8181,-73.9275,413
138 Street,4,14,40.81303,-73.929963,414
125 Street,4,15,40.804259,-73.937473,415
116 Street,4,16,40.798607,-73.942022,416
110 Street,4,17,40.794773,-73.944426,417
103 Street,4,18,40.79029,-73.947687,418
96 Street,4,19,40.785773,-73.950949,419
86 Street,4,20,40.779469,-73.955626,420
77 Street,4,21,40.773587,-73.959875,421
68 Street - Hunter College,4,22,40.767834,-73.964124,422
59 Street,4,23,40.762471,-73.9679,423
51 Street,4,24,40.757075,-73.971977,424
Grand Central - 42 Street,4,25,40.752283,-73.977519,425
33 Street,4,26,40.746389,-73.981944,426
28 Street,4,27,40.74329,-73.984165,427
23 Street,4,28,40.740169,-73.98644,428
14 Street - Union Square,4,29,40.734722,-73.990278,429
Astor Place,4,30,40.729722,-73.991667,430
Broadway - Lafayette Street / Bleecker Street,4,31,40.725833,-73.994722,431
Spring Street,4,32,40.722222,-73.997222,432
Canal Street,4,33,40.718056,-74,433
Brooklyn Bridge - City Hall,4,34,40.712778,-74.004722,434
Fulton Street,4,35,40.710206,-74.007744,435
Wall Street,4,36,40.70771,-74.011717,436
Bowling Green,4,37,40.704106,-74.014521,437
Borough Hall - Court Street,4,38,40.693655,-73.990216,438
Nevins Street,4,39,40.688709,-73.980904,439
Atlantic Avenue,4,40,40.684462,-73.978758,440
Bergen Street,4,41,40.680833,-73.97511,441
Grand Army Plaza,4,42,40.674584,-73.970518,442
Eastern Parkway - Brooklyn Museum,4,43,40.671622,-73.96275,443
Franklin Avenue,4,44,40.670711,-73.958545,444
Nostrand Avenue,4,45,40.6698,-73.95052,445
Kingston Avenue,4,46,40.669376,-73.942151,446
Crown Heights - Utica Avenue,4,47,40.668758,-73.931208,447
Sutter Avenue - Rutland Road,4,48,40.664884,-73.922882,448
Saratoga Avenue,4,49,40.661531,-73.915586,449
Rockaway Avenue,4,50,40.662541,-73.908892,450
Junius Street,4,51,40.663615,-73.90151,451
Pennsylvania Avenue,4,52,40.664722,-73.894129,452
Van Siclen Avenue,4,53,40.665535,-73.888593,453
New Lots Avenue,4,54,40.666382,-73.882585,454
Eastchester - Dyre Avenue,5,1,40.889055,-73.830614,501
Baychester Avenue,5,2,40.87864,-73.838369,502
Gun Hill Road,5,3,40.87017,-73.845806,503
Pelham Parkway,5,4,40.85813,-73.856063,504
Morris Park,5,5,40.854429,-73.860397,505
Nereid Avenue,5,6,40.898,-73.854,506
233 Street,5,7,40.893,-73.857,507
225 Street,5,8,40.888,-73.86,508
219 Street,5,9,40.883,-73.863,509
Gun Hill Road,5,10,40.877,-73.867,510
Burke Avenue,5,11,40.871,-73.867,511
Allerton Avenue,5,12,40.865,-73.867,512
Pelham Parkway,5,13,40.857,-73.868,513
Bronx Park East,5,14,40.849,-73.868,514
East 180 Street,5,15,40.841,-73.874,515
West Farms Square - East Tremont Avenue,5,16,40.84,-73.88,516
174 Street,5,17,40.837,-73.888,517
Freeman Street,5,18,40.83,-73.892,518
Simpson Street,5,19,40.824,-73.893,519
Intervale Avenue,5,20,40.822,-73.897,520
Prospect Avenue,5,21,40.819,-73.901,521
Jackson Avenue,5,22,40.8163,-73.908,522
3 Avenue - 149 Street,5,23,40.816099,-73.917676,523
